local,horario,frame,classe,confiança
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:43.996617,320,Accident,0.8445792198181152
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:44.177616,322,Accident,0.8946850299835205
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:44.379133,324,Accident,0.9015089869499207
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:44.572657,326,Accident,0.8950668573379517
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:44.763217,328,Accident,0.8989059329032898
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:44.941765,330,Accident,0.8724073767662048
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:45.115346,332,Accident,0.8622507452964783
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:45.299375,334,Accident,0.8461769223213196
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:45.472909,336,Accident,0.8537297248840332
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:45.722967,338,Accident,0.8854625225067139
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:45.908363,340,Accident,0.8451014757156372
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:46.108623,342,Accident,0.8481838703155518
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:46.313415,344,Accident,0.86399245262146
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:46.510938,346,Accident,0.8674742579460144
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:46.695971,348,Accident,0.8815972208976746
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:46.874972,350,Accident,0.8864445090293884
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:47.039519,352,Accident,0.8875550627708435
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:47.218051,354,Accident,0.8887676000595093
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:47.393089,356,Accident,0.8988863825798035
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:47.566650,358,Accident,0.8878477215766907
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:47.728165,360,Accident,0.8859401941299438
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:47.906718,362,Accident,0.8832170963287354
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:48.083720,364,Accident,0.8731823563575745
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:48.262586,366,Accident,0.8770378232002258
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:48.450724,368,Accident,0.8929498195648193
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:48.630937,370,Accident,0.8693092465400696
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:48.818491,372,Accident,0.872763991355896
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:48.991597,374,Accident,0.8849331736564636
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:49.158614,376,Accident,0.8840136528015137
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:49.342773,378,Accident,0.8887746334075928
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:49.531296,380,Accident,0.8850456476211548
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:49.721367,382,Accident,0.887228786945343
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:49.893546,384,Accident,0.8878167867660522
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:50.072637,386,Accident,0.8940911293029785
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:50.244679,388,Accident,0.8838759660720825
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:50.419348,390,Accident,0.888958215713501
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:50.689729,392,Accident,0.8927099704742432
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:50.869541,394,Accident,0.8968045115470886
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:51.042013,396,Accident,0.906943678855896
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:51.216587,398,Accident,0.9044469594955444
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:51.390603,400,Accident,0.9053090214729309
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:51.575157,402,Accident,0.9033263325691223
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:51.762666,404,Accident,0.9091201424598694
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:51.943665,406,Accident,0.9042583107948303
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:52.108792,408,Accident,0.9032317996025085
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:52.287950,410,Accident,0.9008234143257141
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:52.454987,412,Accident,0.8994141221046448
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:52.624987,414,Accident,0.8981032967567444
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:52.814221,416,Accident,0.8977450728416443
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:53.004664,418,Accident,0.8883822560310364
