                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92802,                 2.1903,                 1.1746,                0.77383,                0.73278,                0.81952,                0.59252,                0.96484,                 1.6651,                 1.2627,             0.00055115,             0.00055115,             0.00055115
                      2,                0.96548,                 1.4877,                  1.165,                0.84851,                0.74175,                0.84459,                0.58545,                 1.1098,                   1.71,                 1.3701,              0.0010869,              0.0010869,              0.0010869
                      3,                0.98819,                 1.2398,                 1.1682,                0.77523,                0.72723,                0.79456,                 0.5071,                 1.1217,                 1.3437,                 1.3869,              0.0016026,              0.0016026,              0.0016026
                      4,                 0.9481,                 1.0796,                 1.1506,                0.86482,                0.84329,                0.91214,                0.67295,                0.90823,                0.97628,                 1.1893,               0.001577,               0.001577,               0.001577
                      5,                0.90718,                0.95046,                 1.1206,                0.84503,                0.77266,                0.85664,                0.63794,                0.92442,                 0.9808,                 1.1921,               0.001547,               0.001547,               0.001547
                      6,                0.88592,                0.89575,                 1.1108,                0.87494,                0.89125,                0.93145,                0.72329,                0.82926,                0.74619,                 1.1167,               0.001517,               0.001517,               0.001517
                      7,                 0.8486,                0.83947,                 1.0867,                 0.8724,                0.77068,                0.86516,                0.68082,                0.87043,                0.88476,                 1.1609,               0.001487,               0.001487,               0.001487
                      8,                0.82489,                0.77451,                 1.0824,                0.93829,                0.85017,                0.94621,                0.74591,                0.79903,                0.70008,                 1.0962,               0.001457,               0.001457,               0.001457
                      9,                0.81548,                0.77636,                 1.0724,                0.96287,                0.89887,                0.95489,                0.76436,                0.76996,                0.61676,                 1.0693,               0.001427,               0.001427,               0.001427
                     10,                0.79916,                 0.7392,                  1.063,                0.94104,                0.92382,                0.96071,                0.75421,                0.77961,                0.59882,                 1.0998,              0.0013969,              0.0013969,              0.0013969
                     11,                0.78239,                0.69594,                 1.0582,                 0.9183,                0.93717,                0.97659,                 0.7607,                0.81028,                0.58137,                 1.0585,              0.0013669,              0.0013669,              0.0013669
                     12,                0.79733,                0.69786,                 1.0619,                0.96643,                0.90792,                0.97532,                0.79268,                0.74425,                0.54707,                 1.0367,              0.0013369,              0.0013369,              0.0013369
                     13,                0.76669,                0.66648,                 1.0451,                0.95478,                0.89259,                0.96594,                0.77763,                0.74199,                0.60085,                 1.0442,              0.0013069,              0.0013069,              0.0013069
                     14,                0.74508,                0.64597,                 1.0351,                0.94286,                0.88225,                0.95266,                0.75192,                0.77491,                0.60854,                 1.0789,              0.0012769,              0.0012769,              0.0012769
                     15,                  0.735,                0.63868,                 1.0223,                0.94836,                 0.8967,                 0.9481,                0.76704,                0.74699,                0.61317,                 1.0525,              0.0012469,              0.0012469,              0.0012469
                     16,                0.74253,                0.63215,                 1.0346,                0.93366,                0.86938,                0.93998,                0.76615,                0.71289,                0.63861,                 1.0462,              0.0012169,              0.0012169,              0.0012169
                     17,                0.72646,                0.60918,                 1.0252,                0.96258,                0.95021,                0.97985,                0.81007,                0.67432,                0.48845,                0.99533,              0.0011869,              0.0011869,              0.0011869
                     18,                0.72907,                0.60359,                 1.0252,                 0.9281,                 0.9508,                 0.9671,                 0.7971,                0.68108,                0.53532,                0.99642,              0.0011569,              0.0011569,              0.0011569
                     19,                0.71106,                0.59984,                 1.0181,                0.95266,                0.94119,                0.96773,                0.78892,                0.71352,                0.50629,                 1.0425,              0.0011269,              0.0011269,              0.0011269
                     20,                0.71049,                0.59496,                 1.0158,                0.95249,                0.92035,                0.97178,                0.78124,                0.73354,                0.53349,                 1.0312,              0.0010969,              0.0010969,              0.0010969
                     21,                0.69987,                 0.5748,                 1.0141,                0.95389,                0.93538,                0.96798,                0.80283,                0.67994,                0.49197,                0.99469,              0.0010669,              0.0010669,              0.0010669
                     22,                 0.6938,                0.56153,                 1.0109,                0.97163,                0.93781,                0.97069,                0.80793,                 0.6662,                0.48444,                0.98849,              0.0010369,              0.0010369,              0.0010369
                     23,                0.69959,                0.56096,                 1.0081,                0.93969,                0.95519,                0.98155,                0.80524,                0.70029,                0.47465,                 0.9876,              0.0010069,              0.0010069,              0.0010069
                     24,                0.66441,                0.53374,                0.99994,                0.96276,                0.96884,                0.99083,                0.83282,                0.63643,                 0.4246,                0.96557,             0.00097686,             0.00097686,             0.00097686
                     25,                0.68227,                0.53782,                0.99885,                0.93667,                0.95523,                0.97725,                0.81967,                0.65037,                0.45601,                0.95984,             0.00094686,             0.00094686,             0.00094686
                     26,                 0.6642,                0.51924,                0.99881,                0.95697,                 0.9582,                0.98582,                0.82735,                0.64201,                 0.4291,                0.98729,             0.00091685,             0.00091685,             0.00091685
                     27,                0.66105,                0.51341,                0.99291,                0.95519,                0.95034,                0.98099,                0.82375,                0.63663,                0.44649,                0.97946,             0.00088684,             0.00088684,             0.00088684
                     28,                0.64434,                0.49901,                 0.9808,                0.96622,                0.95866,                0.98801,                0.83578,                0.61281,                 0.3961,                0.96648,             0.00085684,             0.00085684,             0.00085684
                     29,                0.65448,                0.49839,                0.99033,                0.93235,                0.97156,                0.98751,                0.83345,                0.62466,                0.41991,                0.96813,             0.00082683,             0.00082683,             0.00082683
                     30,                0.63723,                0.47517,                0.98455,                0.97651,                0.96289,                0.99031,                0.84086,                0.60817,                0.39241,                0.96932,             0.00079683,             0.00079683,             0.00079683
                     31,                0.64923,                0.48073,                0.98532,                0.96647,                0.95596,                0.98582,                0.84131,                0.59357,                0.40327,                0.95031,             0.00076682,             0.00076682,             0.00076682
                     32,                0.64047,                0.48044,                0.98333,                0.97605,                0.96201,                0.99046,                0.84462,                0.58653,                0.38956,                0.94986,             0.00073681,             0.00073681,             0.00073681
                     33,                0.62807,                0.46317,                 0.9733,                 0.9765,                0.95348,                0.99027,                0.85062,                0.59225,                0.38913,                0.95009,             0.00070681,             0.00070681,             0.00070681
                     34,                0.61749,                0.45975,                0.97089,                0.94998,                0.96141,                 0.9836,                0.84004,                0.58429,                0.40473,                 0.9362,              0.0006768,              0.0006768,              0.0006768
                     35,                0.61009,                0.45332,                0.96931,                0.97314,                0.95306,                0.98969,                0.85365,                0.57611,                0.37725,                0.94215,              0.0006468,              0.0006468,              0.0006468
                     36,                0.61106,                0.45296,                0.96135,                0.97483,                0.95641,                0.98895,                0.84181,                0.62547,                0.37456,                0.96944,             0.00061679,             0.00061679,             0.00061679
                     37,                0.60833,                0.44059,                0.97143,                0.96131,                0.96527,                0.98724,                0.84761,                 0.5854,                0.39055,                0.93697,             0.00058678,             0.00058678,             0.00058678
                     38,                0.59572,                0.43471,                0.96825,                 0.9752,                0.96667,                0.98962,                0.85748,                0.56631,                0.36294,                0.92662,             0.00055678,             0.00055678,             0.00055678
                     39,                0.58576,                0.42205,                0.95234,                0.98103,                0.97478,                0.98809,                 0.8527,                0.57929,                0.36394,                0.93545,             0.00052677,             0.00052677,             0.00052677
                     40,                0.60161,                  0.429,                0.97157,                0.96317,                0.97007,                0.98953,                0.85364,                0.57679,                0.36536,                0.93995,             0.00049677,             0.00049677,             0.00049677
                     41,                0.53821,                0.37406,                0.91045,                0.94814,                0.95688,                0.98305,                0.85482,                0.56221,                0.38135,                0.92541,             0.00046676,             0.00046676,             0.00046676
                     42,                0.54663,                0.35618,                0.90482,                0.98283,                0.96758,                0.99276,                0.86511,                0.56087,                0.34272,                0.92223,             0.00043675,             0.00043675,             0.00043675
                     43,                0.52446,                0.33983,                0.90098,                0.96433,                0.96118,                0.98867,                0.86307,                 0.5544,                0.35625,                0.91351,             0.00040675,             0.00040675,             0.00040675
                     44,                  0.521,                0.34154,                0.90232,                0.97693,                0.97157,                0.99271,                0.86938,                0.55397,                0.33666,                 0.9154,             0.00037674,             0.00037674,             0.00037674
                     45,                0.50316,                0.32536,                0.88983,                0.97274,                0.97327,                0.99296,                0.87662,                0.54221,                0.33381,                0.91537,             0.00034674,             0.00034674,             0.00034674
