                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6256,                 4.3224,                 1.4673,                0.45741,                0.15254,                0.09239,                0.07444,                 0.7509,                 2.9446,                0.91367,             8.2667e-05,             8.2667e-05,             8.2667e-05
                      2,                 1.4425,                 3.0266,                  1.312,                0.53221,                0.48751,                0.48566,                0.40135,                0.70044,                 1.7289,                0.94236,             0.00016102,             0.00016102,             0.00016102
                      3,                 1.3205,                 2.1951,                 1.2697,                0.74354,                0.76797,                0.84025,                0.72759,                 0.5889,                 1.0285,                0.91535,             0.00023437,             0.00023437,             0.00023437
                      4,                 1.2191,                 1.7881,                 1.2131,                0.78991,                0.84784,                0.90828,                0.78722,                0.57361,                0.76951,                0.87999,              0.0002275,              0.0002275,              0.0002275
                      5,                 1.1461,                 1.5621,                 1.1738,                0.89789,                0.88215,                0.94211,                0.82849,                0.52783,                0.64556,                0.86884,                0.00022,                0.00022,                0.00022
                      6,                 1.1056,                   1.42,                  1.148,                0.92886,                0.91156,                 0.9608,                0.85024,                0.52527,                0.61548,                0.86834,              0.0002125,              0.0002125,              0.0002125
                      7,                  1.069,                 1.3554,                 1.1282,                0.95172,                0.93004,                0.97668,                0.87068,                0.48568,                 0.5502,                0.85029,               0.000205,               0.000205,               0.000205
                      8,                 1.0318,                 1.2796,                 1.1024,                0.95526,                0.96083,                0.98208,                0.87412,                0.49264,                0.49085,                0.85568,              0.0001975,              0.0001975,              0.0001975
                      9,                0.99179,                 1.2073,                 1.0831,                0.94461,                0.96281,                0.98465,                0.88625,                0.47467,                0.46773,                0.84593,                0.00019,                0.00019,                0.00019
                     10,                0.97268,                 1.1475,                 1.0718,                0.97957,                0.95091,                0.98453,                0.87395,                0.49502,                0.45358,                0.86132,              0.0001825,              0.0001825,              0.0001825
                     11,                0.95578,                 1.1165,                 1.0697,                0.95445,                0.96844,                0.98687,                0.88646,                0.46824,                0.44089,                0.84493,               0.000175,               0.000175,               0.000175
                     12,                0.93949,                 1.0981,                 1.0538,                0.97779,                0.96507,                0.98593,                0.88904,                  0.455,                0.42593,                0.84501,              0.0001675,              0.0001675,              0.0001675
                     13,                0.90214,                  1.035,                 1.0377,                0.97057,                0.97297,                  0.985,                0.89295,                0.44636,                0.41309,                0.84155,                0.00016,                0.00016,                0.00016
                     14,                0.88352,                 1.0243,                 1.0254,                0.97939,                0.97376,                0.98588,                0.89457,                0.43913,                0.39862,                0.83841,              0.0001525,              0.0001525,              0.0001525
                     15,                0.87668,                 1.0023,                 1.0232,                 0.9735,                0.96989,                0.98611,                 0.8941,                0.44331,                0.40534,                0.83708,               0.000145,               0.000145,               0.000145
                     16,                0.87087,                0.98634,                 1.0215,                 0.9746,                0.97552,                0.98741,                0.89877,                0.43263,                0.39531,                 0.8331,              0.0001375,              0.0001375,              0.0001375
                     17,                0.84628,                0.96778,                 1.0143,                0.98227,                0.97338,                0.98748,                0.89917,                0.42619,                 0.3817,                0.83446,                0.00013,                0.00013,                0.00013
                     18,                0.83414,                0.94755,                 1.0052,                0.97302,                0.98526,                0.98869,                0.89517,                 0.4459,                0.38364,                0.83826,              0.0001225,              0.0001225,              0.0001225
                     19,                0.82553,                0.93211,                 1.0005,                0.97333,                0.98303,                0.98675,                0.89916,                0.42921,                0.37716,                0.83362,               0.000115,               0.000115,               0.000115
                     20,                0.82231,                0.93311,                 1.0031,                 0.9828,                0.98317,                 0.9877,                 0.9015,                0.42567,                0.37164,                0.83362,              0.0001075,              0.0001075,              0.0001075
                     21,                 0.7261,                0.70559,                0.97538,                0.98438,                0.98481,                0.98804,                0.90069,                0.42437,                0.36312,                0.83301,                 0.0001,                 0.0001,                 0.0001
                     22,                0.70123,                0.68214,                0.95877,                0.98242,                0.98085,                0.98801,                0.90671,                0.40699,                0.34939,                0.82517,               9.25e-05,               9.25e-05,               9.25e-05
                     23,                0.68592,                 0.6504,                0.95014,                 0.9828,                0.98095,                0.98744,                0.90728,                0.41188,                 0.3474,                0.82551,                8.5e-05,                8.5e-05,                8.5e-05
                     24,                0.66907,                0.64087,                0.94494,                0.98443,                0.98223,                0.98859,                0.91068,                0.40743,                0.33445,                0.82719,               7.75e-05,               7.75e-05,               7.75e-05
                     25,                0.66137,                0.63215,                0.93969,                0.98555,                0.97692,                0.98834,                0.90866,                0.40613,                0.33552,                0.82307,                  7e-05,                  7e-05,                  7e-05
                     26,                0.65798,                0.62444,                0.94161,                0.98709,                0.98353,                 0.9895,                0.91397,                 0.3982,                0.32479,                 0.8222,               6.25e-05,               6.25e-05,               6.25e-05
                     27,                0.65003,                0.61133,                 0.9345,                0.98517,                0.98321,                0.98889,                0.91089,                0.39752,                0.32327,                0.82154,                5.5e-05,                5.5e-05,                5.5e-05
                     28,                0.63877,                0.59952,                0.92723,                0.98419,                0.98725,                0.99021,                0.91159,                0.40215,                0.31755,                0.82374,               4.75e-05,               4.75e-05,               4.75e-05
                     29,                0.62713,                0.58886,                0.91988,                0.98856,                 0.9839,                0.98929,                0.91576,                0.39297,                0.31564,                0.82105,                  4e-05,                  4e-05,                  4e-05
                     30,                0.61891,                0.58961,                0.91616,                0.98726,                 0.9866,                0.98995,                  0.915,                0.39081,                0.30839,                0.81992,               3.25e-05,               3.25e-05,               3.25e-05
