                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1691,                 2.6863,                 1.6709,                 0.7044,                0.16667,                0.23305,                0.10369,                 1.9205,                 3.1116,                 3.0871,             0.00046767,             0.00046767,             0.00046767
                      2,                  1.141,                 2.0572,                 1.6235,                 0.2299,                0.27778,                0.23298,                0.07652,                 2.2249,                 2.8227,                 3.1042,             0.00092701,             0.00092701,             0.00092701
                      3,                 1.2014,                  1.921,                 1.6584,                 0.2674,                0.37778,                0.28601,                 0.1193,                  2.001,                  4.428,                 3.0204,              0.0013692,              0.0013692,              0.0013692
                      4,                 1.1545,                 1.8077,                 1.6262,                 0.5411,                 0.4842,                0.44981,                0.16135,                 2.0896,                 2.6856,                  3.007,              0.0013518,              0.0013518,              0.0013518
                      5,                 1.0952,                 1.6897,                 1.5833,                0.47565,                0.52189,                0.46186,                0.23412,                 1.7604,                 2.3532,                 2.4367,              0.0013261,              0.0013261,              0.0013261
                      6,                 1.1329,                 1.5984,                 1.5907,                0.30465,                0.62764,                0.40768,                0.19117,                 1.8763,                 2.3527,                  2.458,              0.0013004,              0.0013004,              0.0013004
                      7,                 1.1029,                  1.525,                 1.5703,                0.52451,                 0.5734,                0.52568,                0.21672,                 2.0996,                 2.5619,                 2.8206,              0.0012747,              0.0012747,              0.0012747
                      8,                 1.0194,                 1.4179,                 1.5212,                0.34039,                 0.3714,                0.38412,                0.17122,                 2.2354,                 2.5501,                 2.9013,              0.0012489,              0.0012489,              0.0012489
                      9,                 1.0382,                 1.3969,                 1.5435,                0.65267,                0.58333,                0.59514,                0.27349,                 1.7792,                 1.8822,                 2.3533,              0.0012232,              0.0012232,              0.0012232
                     10,                 1.0014,                 1.2925,                  1.496,                0.70043,                0.53579,                0.66077,                0.33454,                  1.737,                 1.8861,                 2.2894,              0.0011975,              0.0011975,              0.0011975
                     11,                 1.0308,                 1.3064,                 1.4943,                0.55535,                0.47845,                0.47061,                0.24655,                 1.8287,                 2.0541,                 2.4691,              0.0011718,              0.0011718,              0.0011718
                     12,                 1.0152,                 1.2496,                 1.4919,                 0.8165,                0.55613,                0.65741,                0.28751,                 1.8295,                 1.8644,                 2.3386,              0.0011461,              0.0011461,              0.0011461
                     13,                0.98999,                 1.2416,                 1.4886,                0.73455,                0.52151,                0.48584,                0.23107,                 1.7249,                 2.4419,                 2.4001,              0.0011203,              0.0011203,              0.0011203
                     14,                0.94549,                 1.1562,                 1.4453,                0.80753,                    0.6,                0.62926,                0.30179,                 1.9426,                 2.0024,                 2.4617,              0.0010946,              0.0010946,              0.0010946
                     15,                0.96812,                 1.1538,                  1.453,                0.50204,                0.60556,                0.60294,                0.31306,                 1.8986,                 1.6978,                 2.5236,              0.0010689,              0.0010689,              0.0010689
                     16,                0.96919,                 1.1736,                 1.4509,                0.88668,                0.78333,                0.83273,                0.37687,                 1.9314,                 1.4594,                 2.3878,              0.0010432,              0.0010432,              0.0010432
                     17,                0.90569,                 1.1443,                 1.4323,                0.75154,                0.71657,                0.77572,                0.33861,                 1.8552,                 1.5044,                 2.2974,              0.0010174,              0.0010174,              0.0010174
                     18,                0.91687,                 1.1109,                 1.4293,                0.94506,                0.53889,                0.68423,                0.27727,                 1.8929,                 2.1193,                 2.4115,             0.00099173,             0.00099173,             0.00099173
                     19,                0.89508,                 1.0573,                 1.4138,                0.63034,                0.55536,                0.58482,                0.28478,                  1.841,                 1.8329,                 2.3145,               0.000966,               0.000966,               0.000966
                     20,                0.89978,                   1.05,                 1.4102,                0.72952,                0.70897,                0.74402,                 0.3445,                 1.7674,                 1.4956,                 2.2756,             0.00094028,             0.00094028,             0.00094028
                     21,                 0.9047,                  1.023,                 1.4179,                0.86132,                0.75556,                 0.8422,                0.42744,                  1.659,                 1.3783,                 2.1803,             0.00091456,             0.00091456,             0.00091456
                     22,                0.91341,                 1.0234,                  1.413,                0.94386,                 0.7388,                 0.8471,                0.42613,                 1.7031,                 1.3559,                 2.1607,             0.00088884,             0.00088884,             0.00088884
                     23,                0.86515,                0.95773,                 1.3768,                0.65697,                0.61064,                0.59337,                0.31049,                 1.6635,                 1.9424,                 2.2203,             0.00086312,             0.00086312,             0.00086312
                     24,                0.85857,                0.99105,                 1.3669,                0.87853,                 0.8161,                0.86853,                0.43387,                 1.6712,                 1.3675,                 2.1693,             0.00083739,             0.00083739,             0.00083739
                     25,                0.89163,                0.98459,                  1.386,                0.77583,                   0.85,                0.83229,                0.41952,                 1.7264,                 1.4037,                 2.1633,             0.00081167,             0.00081167,             0.00081167
                     26,                0.87079,                0.96524,                 1.3892,                0.74152,                0.71111,                 0.6958,                0.33291,                 1.7662,                 1.4812,                 2.2186,             0.00078595,             0.00078595,             0.00078595
                     27,                0.85909,                0.96665,                 1.3802,                0.81645,                0.70123,                0.78072,                 0.3931,                 1.7031,                 1.3495,                  2.217,             0.00076023,             0.00076023,             0.00076023
                     28,                0.86563,                0.94409,                 1.3735,                0.70317,                0.73359,                0.67904,                 0.3265,                 1.8633,                 1.3093,                 2.3382,             0.00073451,             0.00073451,             0.00073451
                     29,                0.83566,                0.92127,                 1.3574,                0.85316,                0.68333,                0.77354,                0.35893,                 1.7968,                 1.6425,                 2.2648,             0.00070878,             0.00070878,             0.00070878
                     30,                0.86537,                0.93523,                 1.3691,                0.70559,                0.65557,                0.63044,                0.33062,                 1.8456,                 1.8654,                  2.327,             0.00068306,             0.00068306,             0.00068306
