                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9641,                 1.9948,                 1.4974,                0.75486,                0.61652,                0.70058,                0.39473,                 1.5405,                 1.6285,                 1.2689,             0.00065672,             0.00065672,             0.00065672
                      2,                 1.3902,                 1.0652,                 1.1152,                0.83106,                0.84028,                0.88503,                0.59778,                 1.1456,                 0.9125,                 1.0214,              0.0012996,              0.0012996,              0.0012996
                      3,                 1.3104,                0.96555,                 1.0772,                0.83747,                0.86425,                0.92028,                0.62443,                 1.1423,                0.91317,                 1.0252,              0.0019184,              0.0019184,              0.0019184
                      4,                 1.2724,                0.87659,                 1.0549,                0.86813,                0.87873,                0.92909,                0.62403,                 1.1704,                0.84553,                 1.0284,               0.001892,               0.001892,               0.001892
                      5,                 1.2198,                0.81287,                 1.0338,                0.83282,                 0.8622,                0.90866,                0.62445,                   1.13,                0.73038,                 1.0072,               0.001856,               0.001856,               0.001856
                      6,                 1.2049,                0.77759,                 1.0305,                0.83976,                0.88801,                0.93291,                0.65373,                 1.0838,                0.69983,                0.98682,                0.00182,                0.00182,                0.00182
                      7,                 1.2053,                0.75544,                 1.0266,                 0.8549,                0.89974,                0.94012,                0.65982,                 1.0987,                0.64818,                0.99725,               0.001784,               0.001784,               0.001784
                      8,                 1.1841,                0.72585,                 1.0195,                0.85864,                0.92074,                 0.9518,                0.66308,                 1.0854,                0.69326,                0.98869,               0.001748,               0.001748,               0.001748
                      9,                 1.1687,                0.71092,                  1.004,                0.86372,                0.89616,                0.95037,                  0.667,                   1.08,                 0.6057,                0.99071,               0.001712,               0.001712,               0.001712
                     10,                 1.1556,                0.69927,                 1.0017,                  0.862,                0.92569,                0.95284,                0.63647,                 1.1488,                0.63352,                 1.0111,               0.001676,               0.001676,               0.001676
                     11,                 1.1269,                0.67027,                0.99542,                0.90383,                0.89306,                0.95748,                0.67537,                 1.0688,                0.62394,                0.98765,                0.00164,                0.00164,                0.00164
                     12,                  1.127,                0.66009,                0.99006,                0.88932,                0.90045,                0.95852,                0.68807,                  1.051,                0.57866,                0.98442,               0.001604,               0.001604,               0.001604
                     13,                 1.1361,                0.66934,                0.99886,                 0.9032,                0.89253,                0.95805,                0.66816,                 1.0814,                0.60243,                0.99333,               0.001568,               0.001568,               0.001568
                     14,                 1.1124,                 0.6626,                0.99024,                0.89753,                0.92146,                0.96225,                0.69176,                 1.0363,                  0.557,                0.97413,               0.001532,               0.001532,               0.001532
                     15,                 1.1152,                0.63605,                0.99236,                0.87903,                 0.9124,                0.94517,                0.63175,                 1.1294,                0.64848,                 1.0043,               0.001496,               0.001496,               0.001496
