                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6193,                 2.6776,                 1.4708,                0.64009,                0.10248,                0.19895,                0.11327,                 1.4365,                 2.8931,                 1.4589,             0.00054761,             0.00054761,             0.00054761
                      2,                 1.4664,                  2.025,                 1.3989,                0.60096,                0.48533,                0.51088,                0.28337,                 1.3779,                 2.0029,                 1.4105,              0.0010305,              0.0010305,              0.0010305
                      3,                 1.4295,                 1.8318,                 1.3814,                0.63466,                0.52507,                0.54853,                0.33946,                 1.3362,                 1.8063,                 1.3664,                0.00144,                0.00144,                0.00144
                      4,                 1.3989,                  1.686,                  1.357,                0.64698,                0.56962,                0.59766,                0.37938,                  1.288,                  1.692,                 1.3025,              0.0013369,              0.0013369,              0.0013369
                      5,                 1.3573,                  1.547,                 1.3372,                0.54565,                0.59687,                0.57068,                0.36421,                 1.2434,                 2.3429,                 1.2796,              0.0012269,              0.0012269,              0.0012269
                      6,                 1.2117,                 1.3749,                 1.2688,                0.79041,                0.64782,                 0.7529,                0.49138,                 1.1919,                  1.373,                  1.253,              0.0011169,              0.0011169,              0.0011169
                      7,                 1.1621,                 1.2033,                 1.2293,                0.80337,                0.73143,                0.79633,                0.53659,                 1.0926,                 1.0143,                 1.1637,              0.0010069,              0.0010069,              0.0010069
                      8,                 1.0908,                 1.0871,                 1.1961,                0.81076,                0.78065,                0.85478,                0.59073,                 1.0638,                 0.9343,                 1.1693,             0.00089685,             0.00089685,             0.00089685
                      9,                 1.0276,                0.96639,                  1.155,                0.80368,                0.82964,                0.86354,                0.61056,                 1.0034,                0.86841,                 1.1053,             0.00078682,             0.00078682,             0.00078682
                     10,                0.98603,                 0.8974,                 1.1197,                0.86748,                0.81721,                0.87502,                0.62232,                 1.0062,                0.77917,                 1.1153,              0.0006768,              0.0006768,              0.0006768
                     11,                0.96811,                 0.8327,                 1.1158,                0.86631,                0.82584,                0.88575,                0.65605,                0.94843,                0.74904,                 1.0745,             0.00056678,             0.00056678,             0.00056678
                     12,                0.92575,                0.77017,                 1.0964,                0.86854,                0.86318,                0.90862,                0.67359,                0.92975,                0.73484,                 1.0719,             0.00045676,             0.00045676,             0.00045676
                     13,                 0.8991,                0.72554,                 1.0824,                0.87391,                0.88094,                0.91493,                0.68643,                0.89157,                0.65318,                 1.0504,             0.00034674,             0.00034674,             0.00034674
                     14,                0.85174,                0.68258,                 1.0473,                0.92436,                0.87213,                0.93365,                0.70513,                0.86225,                0.61587,                 1.0488,             0.00023671,             0.00023671,             0.00023671
                     15,                 0.8312,                0.63178,                 1.0403,                0.94249,                0.85857,                 0.9339,                0.72457,                0.84626,                 0.6015,                 1.0378,             0.00012669,             0.00012669,             0.00012669
