                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1661,                 2.1082,                 1.4405,                0.50858,                0.35243,                0.34436,                 0.1837,                 1.4089,                  2.433,                 1.9478,               0.000554,               0.000554,               0.000554
                      2,                 1.2629,                  1.697,                    1.5,                0.40733,                0.57118,                 0.4714,                0.30455,                  1.272,                 2.1539,                 1.7445,              0.0010547,              0.0010547,              0.0010547
                      3,                 1.2712,                 1.5997,                 1.5074,                0.50477,                0.58371,                0.56235,                0.35818,                 1.2895,                 1.4452,                 1.6694,              0.0015005,              0.0015005,              0.0015005
                      4,                 1.2356,                 1.4874,                 1.4787,                 0.6053,                 0.6157,                0.63861,                0.45549,                 1.0948,                 1.2698,                  1.513,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.1554,                  1.375,                 1.4186,                0.68953,                 0.6751,                0.72746,                0.52228,                 1.0522,                 1.1334,                 1.4308,              0.0013369,              0.0013369,              0.0013369
                      6,                 1.0978,                 1.2599,                 1.3726,                0.73129,                0.67917,                0.75993,                0.56486,                0.93098,                 1.0196,                  1.315,              0.0012544,              0.0012544,              0.0012544
                      7,                 1.0622,                 1.2032,                 1.3541,                0.76901,                0.68237,                0.79706,                0.60356,                0.88055,                0.96714,                 1.2862,              0.0011719,              0.0011719,              0.0011719
                      8,                  1.012,                 1.1368,                 1.3258,                0.75802,                0.68204,                 0.7681,                0.59719,                0.83709,                0.90345,                 1.2498,              0.0010894,              0.0010894,              0.0010894
                      9,                0.97825,                 1.0664,                 1.2979,                0.87218,                0.74357,                0.86425,                0.66477,                  0.815,                 0.8431,                 1.2238,              0.0010069,              0.0010069,              0.0010069
                     10,                0.94311,                 1.0041,                 1.2673,                0.86228,                0.75913,                0.88802,                 0.7126,                0.73026,                0.71452,                 1.1623,             0.00092435,             0.00092435,             0.00092435
                     11,                0.70596,                0.68376,                 1.1413,                0.87577,                0.78831,                 0.8945,                0.72768,                0.70277,                0.66731,                 1.1366,             0.00084184,             0.00084184,             0.00084184
                     12,                0.66445,                0.61368,                 1.1101,                0.89099,                 0.8303,                0.91086,                0.76149,                0.66535,                0.61092,                 1.1001,             0.00075932,             0.00075932,             0.00075932
                     13,                0.62113,                0.55421,                 1.0721,                0.93945,                0.86347,                0.94249,                0.80616,                0.59833,                0.48521,                 1.0411,              0.0006768,              0.0006768,              0.0006768
                     14,                0.58599,                0.49381,                 1.0435,                0.90937,                0.88286,                0.94401,                0.80809,                0.57576,                0.46414,                 1.0135,             0.00059429,             0.00059429,             0.00059429
                     15,                0.55463,                0.44819,                 1.0171,                0.95272,                0.90945,                0.96096,                0.84394,                0.53861,                0.39158,                0.98922,             0.00051177,             0.00051177,             0.00051177
                     16,                0.52393,                0.40602,                0.99468,                0.94826,                0.92833,                 0.9668,                0.84227,                0.52163,                0.38574,                0.97631,             0.00042925,             0.00042925,             0.00042925
                     17,                0.48772,                0.37696,                 0.9683,                0.96085,                0.93455,                0.96977,                0.86873,                0.47897,                0.34288,                0.94007,             0.00034674,             0.00034674,             0.00034674
                     18,                0.46342,                0.34465,                0.95673,                0.96683,                0.93538,                0.97237,                 0.8812,                0.45941,                0.32627,                0.93645,             0.00026422,             0.00026422,             0.00026422
                     19,                0.43576,                0.31948,                0.93493,                0.97475,                0.94664,                0.97518,                0.88847,                0.43606,                0.29482,                0.91932,              0.0001817,              0.0001817,              0.0001817
                     20,                0.41186,                0.29986,                0.91762,                0.96926,                0.95509,                0.97821,                0.89895,                0.41348,                0.27849,                0.90439,             9.9187e-05,             9.9187e-05,             9.9187e-05
